year,state,homelessness,number,region,state_new
2018,TX,Overall Homeless,25310.0,southwest,State
2018,UT,Overall Homeless,2876.0,west,State
2018,VA,Overall Homeless,5975.0,southeast,State
2018,VI,Overall Homeless,486.0,northeast,Territory
2018,VT,Overall Homeless,1291.0,northeast,State
2018,WA,Overall Homeless,22304.0,west,State
2018,WI,Overall Homeless,4907.0,midwest,State
2018,WV,Overall Homeless,1243.0,southeast,State
2018,WY,Overall Homeless,639.0,west,State
2018,Total,Overall Homeless,552830.0,Total,
2018,AK,Sheltered ES Homeless,1248.0,west,State
2018,AL,Sheltered ES Homeless,1519.0,southeast,State
2018,AR,Sheltered ES Homeless,933.0,southeast,State
2018,AZ,Sheltered ES Homeless,3615.0,southwest,State
2018,CA,Sheltered ES Homeless,27475.0,west,State
2018,CO,Sheltered ES Homeless,4158.0,west,State
2018,CT,Sheltered ES Homeless,2879.0,northeast,State
2018,DC,Sheltered ES Homeless,5095.0,southeast,State
2018,DE,Sheltered ES Homeless,702.0,southeast,State
2018,FL,Sheltered ES Homeless,12089.0,southeast,State
2018,GA,Sheltered ES Homeless,3434.0,southeast,State
2018,GU,Sheltered ES Homeless,124.0,west,Territory
2018,HI,Sheltered ES Homeless,1528.0,west,State
2018,IA,Sheltered ES Homeless,1481.0,midwest,State
2018,ID,Sheltered ES Homeless,954.0,west,State
2018,IL,Sheltered ES Homeless,6247.0,midwest,State
2018,IN,Sheltered ES Homeless,3370.0,midwest,State
2018,KS,Sheltered ES Homeless,1300.0,midwest,State
2018,KY,Sheltered ES Homeless,2340.0,southeast,State
2018,LA,Sheltered ES Homeless,1163.0,southeast,State
2018,MA,Sheltered ES Homeless,16855.0,northeast,State
2018,MD,Sheltered ES Homeless,3603.0,southeast,State
2018,ME,Sheltered ES Homeless,1012.0,northeast,State
2018,MI,Sheltered ES Homeless,5499.0,midwest,State
2018,MN,Sheltered ES Homeless,3855.0,midwest,State
2018,MO,Sheltered ES Homeless,3262.0,midwest,State
2018,MP,Sheltered ES Homeless,22.0,west,Territory
2018,MS,Sheltered ES Homeless,404.0,southeast,State
2018,MT,Sheltered ES Homeless,793.0,west,State
2018,NC,Sheltered ES Homeless,5289.0,southeast,State
2018,ND,Sheltered ES Homeless,339.0,midwest,State
2018,NE,Sheltered ES Homeless,1736.0,midwest,State
2018,NH,Sheltered ES Homeless,812.0,northeast,State
2018,NJ,Sheltered ES Homeless,5805.0,northeast,State
2018,NM,Sheltered ES Homeless,1368.0,southwest,State
2018,NV,Sheltered ES Homeless,2183.0,west,State
2018,NY,Sheltered ES Homeless,82370.0,northeast,State
2018,OH,Sheltered ES Homeless,7234.0,midwest,State
2018,OK,Sheltered ES Homeless,2077.0,southwest,State
2018,OR,Sheltered ES Homeless,3757.0,west,State
2018,PA,Sheltered ES Homeless,7863.0,northeast,State
2018,PR,Sheltered ES Homeless,342.0,northeast,Territory
2018,RI,Sheltered ES Homeless,739.0,northeast,State
2018,SC,Sheltered ES Homeless,1997.0,southeast,State
2018,SD,Sheltered ES Homeless,707.0,midwest,State
2018,TN,Sheltered ES Homeless,3547.0,southeast,State
2018,TX,Sheltered ES Homeless,11307.0,southwest,State
2018,UT,Sheltered ES Homeless,1946.0,west,State
2018,VA,Sheltered ES Homeless,4232.0,southeast,State
2018,VI,Sheltered ES Homeless,137.0,northeast,Territory
2018,VT,Sheltered ES Homeless,1029.0,northeast,State
2018,WA,Sheltered ES Homeless,7652.0,west,State
2018,WI,Sheltered ES Homeless,3139.0,midwest,State
2018,WV,Sheltered ES Homeless,870.0,southeast,State
2018,WY,Sheltered ES Homeless,269.0,west,State
2018,Total,Sheltered ES Homeless,275705.0,Total,
2018,AK,Sheltered TH Homeless,459.0,west,State
2018,AL,Sheltered TH Homeless,865.0,southeast,State
2018,AR,Sheltered TH Homeless,516.0,southeast,State
2018,AZ,Sheltered TH Homeless,2144.0,southwest,State
2018,CA,Sheltered TH Homeless,12737.0,west,State
2018,CO,Sheltered TH Homeless,2348.0,west,State
2018,CT,Sheltered TH Homeless,516.0,northeast,State
2018,DC,Sheltered TH Homeless,1209.0,southeast,State
2018,DE,Sheltered TH Homeless,282.0,southeast,State
2018,FL,Sheltered TH Homeless,5419.0,southeast,State
2018,GA,Sheltered TH Homeless,2466.0,southeast,State
2018,GU,Sheltered TH Homeless,3.0,west,Territory
2018,HI,Sheltered TH Homeless,1527.0,west,State
2018,IA,Sheltered TH Homeless,1004.0,midwest,State
2018,ID,Sheltered TH Homeless,335.0,west,State
2018,IL,Sheltered TH Homeless,2381.0,midwest,State
2018,IN,Sheltered TH Homeless,1218.0,midwest,State
2018,KS,Sheltered TH Homeless,555.0,midwest,State
2018,KY,Sheltered TH Homeless,480.0,southeast,State
2018,LA,Sheltered TH Homeless,795.0,southeast,State
2018,MA,Sheltered TH Homeless,2148.0,northeast,State
2018,MD,Sheltered TH Homeless,1700.0,southeast,State
2018,ME,Sheltered TH Homeless,1391.0,northeast,State
2018,MI,Sheltered TH Homeless,1881.0,midwest,State
2018,MN,Sheltered TH Homeless,2251.0,midwest,State
2018,MO,Sheltered TH Homeless,1369.0,midwest,State
2018,MP,Sheltered TH Homeless,0.0,west,Territory
2018,MS,Sheltered TH Homeless,327.0,southeast,State
2018,MT,Sheltered TH Homeless,239.0,west,State
2018,NC,Sheltered TH Homeless,1529.0,southeast,State
2018,ND,Sheltered TH Homeless,155.0,midwest,State
2018,NE,Sheltered TH Homeless,541.0,midwest,State
2018,NH,Sheltered TH Homeless,476.0,northeast,State
2018,NJ,Sheltered TH Homeless,1951.0,northeast,State
2018,NM,Sheltered TH Homeless,387.0,southwest,State
2018,NV,Sheltered TH Homeless,921.0,west,State
2018,NY,Sheltered TH Homeless,5137.0,northeast,State
2018,OH,Sheltered TH Homeless,1608.0,midwest,State
2018,OK,Sheltered TH Homeless,586.0,southwest,State
2018,OR,Sheltered TH Homeless,1786.0,west,State
2018,PA,Sheltered TH Homeless,3625.0,northeast,State
2018,PR,Sheltered TH Homeless,312.0,northeast,Territory
2018,RI,Sheltered TH Homeless,311.0,northeast,State
2018,SC,Sheltered TH Homeless,577.0,southeast,State
2018,SD,Sheltered TH Homeless,167.0,midwest,State
2018,TN,Sheltered TH Homeless,1470.0,southeast,State
2018,TX,Sheltered TH Homeless,3405.0,southwest,State
2018,UT,Sheltered TH Homeless,510.0,west,State
2018,VA,Sheltered TH Homeless,810.0,southeast,State
2018,VI,Sheltered TH Homeless,42.0,northeast,Territory
2018,VT,Sheltered TH Homeless,180.0,northeast,State
2018,WA,Sheltered TH Homeless,3990.0,west,State
2018,WI,Sheltered TH Homeless,1319.0,midwest,State
2018,WV,Sheltered TH Homeless,180.0,southeast,State
2018,WY,Sheltered TH Homeless,171.0,west,State
2018,Total,Sheltered TH Homeless,80711.0,Total,
2018,AK,Sheltered SH Homeless,0.0,west,State
2018,AL,Sheltered SH Homeless,40.0,southeast,State
2018,AR,Sheltered SH Homeless,6.0,southeast,State
2018,AZ,Sheltered SH Homeless,40.0,southwest,State
2018,CA,Sheltered SH Homeless,217.0,west,State
2018,CO,Sheltered SH Homeless,22.0,west,State
2018,CT,Sheltered SH Homeless,0.0,northeast,State
2018,DC,Sheltered SH Homeless,0.0,southeast,State
2018,DE,Sheltered SH Homeless,5.0,southeast,State
2018,FL,Sheltered SH Homeless,129.0,southeast,State
2018,GA,Sheltered SH Homeless,0.0,southeast,State
2018,GU,Sheltered SH Homeless,0.0,west,Territory
2018,HI,Sheltered SH Homeless,0.0,west,State
2018,IA,Sheltered SH Homeless,23.0,midwest,State
2018,ID,Sheltered SH Homeless,0.0,west,State
2018,IL,Sheltered SH Homeless,73.0,midwest,State
2018,IN,Sheltered SH Homeless,91.0,midwest,State
2018,KS,Sheltered SH Homeless,4.0,midwest,State
2018,KY,Sheltered SH Homeless,0.0,southeast,State
2018,LA,Sheltered SH Homeless,36.0,southeast,State
2018,MA,Sheltered SH Homeless,80.0,northeast,State
2018,MD,Sheltered SH Homeless,77.0,southeast,State
2018,ME,Sheltered SH Homeless,15.0,northeast,State
2018,MI,Sheltered SH Homeless,72.0,midwest,State
2018,MN,Sheltered SH Homeless,16.0,midwest,State
2018,MO,Sheltered SH Homeless,38.0,midwest,State
2018,MP,Sheltered SH Homeless,0.0,west,Territory
2018,MS,Sheltered SH Homeless,0.0,southeast,State
2018,MT,Sheltered SH Homeless,0.0,west,State
2018,NC,Sheltered SH Homeless,0.0,southeast,State
2018,ND,Sheltered SH Homeless,0.0,midwest,State
2018,NE,Sheltered SH Homeless,0.0,midwest,State
2018,NH,Sheltered SH Homeless,8.0,northeast,State
2018,NJ,Sheltered SH Homeless,19.0,northeast,State
2018,NM,Sheltered SH Homeless,0.0,southwest,State
2018,NV,Sheltered SH Homeless,201.0,west,State
2018,NY,Sheltered SH Homeless,96.0,northeast,State
2018,OH,Sheltered SH Homeless,92.0,midwest,State
2018,OK,Sheltered SH Homeless,17.0,southwest,State
2018,OR,Sheltered SH Homeless,8.0,west,State
2018,PA,Sheltered SH Homeless,280.0,northeast,State
2018,PR,Sheltered SH Homeless,16.0,northeast,Territory
2018,RI,Sheltered SH Homeless,0.0,northeast,State
2018,SC,Sheltered SH Homeless,15.0,southeast,State
2018,SD,Sheltered SH Homeless,0.0,midwest,State
2018,TN,Sheltered SH Homeless,11.0,southeast,State
2018,TX,Sheltered SH Homeless,64.0,southwest,State
2018,UT,Sheltered SH Homeless,0.0,west,State
2018,VA,Sheltered SH Homeless,18.0,southeast,State
2018,VI,Sheltered SH Homeless,0.0,northeast,Territory
2018,VT,Sheltered SH Homeless,0.0,northeast,State
2018,WA,Sheltered SH Homeless,41.0,west,State
2018,WI,Sheltered SH Homeless,67.0,midwest,State
2018,WV,Sheltered SH Homeless,10.0,southeast,State
2018,WY,Sheltered SH Homeless,0.0,west,State
2018,Total,Sheltered SH Homeless,1947.0,Total,
2018,AK,Sheltered Total Homeless,1707.0,west,State
2018,AL,Sheltered Total Homeless,2424.0,southeast,State
2018,AR,Sheltered Total Homeless,1455.0,southeast,State
2018,AZ,Sheltered Total Homeless,5799.0,southwest,State
2018,CA,Sheltered Total Homeless,40429.0,west,State
2018,CO,Sheltered Total Homeless,6528.0,west,State
2018,CT,Sheltered Total Homeless,3395.0,northeast,State
2018,DC,Sheltered Total Homeless,6304.0,southeast,State
2018,DE,Sheltered Total Homeless,989.0,southeast,State
2018,FL,Sheltered Total Homeless,17637.0,southeast,State
2018,GA,Sheltered Total Homeless,5900.0,southeast,State
2018,GU,Sheltered Total Homeless,127.0,west,Territory
2018,HI,Sheltered Total Homeless,3055.0,west,State
2018,IA,Sheltered Total Homeless,2508.0,midwest,State
2018,ID,Sheltered Total Homeless,1289.0,west,State
2018,IL,Sheltered Total Homeless,8701.0,midwest,State
2018,IN,Sheltered Total Homeless,4679.0,midwest,State
2018,KS,Sheltered Total Homeless,1859.0,midwest,State
2018,KY,Sheltered Total Homeless,2820.0,southeast,State
2018,LA,Sheltered Total Homeless,1994.0,southeast,State
2018,MA,Sheltered Total Homeless,19083.0,northeast,State
2018,MD,Sheltered Total Homeless,5380.0,southeast,State
2018,ME,Sheltered Total Homeless,2418.0,northeast,State
2018,MI,Sheltered Total Homeless,7452.0,midwest,State
2018,MN,Sheltered Total Homeless,6122.0,midwest,State
2018,MO,Sheltered Total Homeless,4669.0,midwest,State
2018,MP,Sheltered Total Homeless,22.0,west,Territory
2018,MS,Sheltered Total Homeless,731.0,southeast,State
2018,MT,Sheltered Total Homeless,1032.0,west,State
2018,NC,Sheltered Total Homeless,6818.0,southeast,State
2018,ND,Sheltered Total Homeless,494.0,midwest,State
2018,NE,Sheltered Total Homeless,2277.0,midwest,State
2018,NH,Sheltered Total Homeless,1296.0,northeast,State
2018,NJ,Sheltered Total Homeless,7775.0,northeast,State
2018,NM,Sheltered Total Homeless,1755.0,southwest,State
2018,NV,Sheltered Total Homeless,3305.0,west,State
2018,NY,Sheltered Total Homeless,87603.0,northeast,State
2018,OH,Sheltered Total Homeless,8934.0,midwest,State
2018,OK,Sheltered Total Homeless,2680.0,southwest,State
2018,OR,Sheltered Total Homeless,5551.0,west,State
2018,PA,Sheltered Total Homeless,11768.0,northeast,State
2018,PR,Sheltered Total Homeless,670.0,northeast,Territory
2018,RI,Sheltered Total Homeless,1050.0,northeast,State
2018,SC,Sheltered Total Homeless,2589.0,southeast,State
2018,SD,Sheltered Total Homeless,874.0,midwest,State
2018,TN,Sheltered Total Homeless,5028.0,southeast,State
2018,TX,Sheltered Total Homeless,14776.0,southwest,State
2018,UT,Sheltered Total Homeless,2456.0,west,State
2018,VA,Sheltered Total Homeless,5060.0,southeast,State
2018,VI,Sheltered Total Homeless,179.0,northeast,Territory
2018,VT,Sheltered Total Homeless,1209.0,northeast,State
2018,WA,Sheltered Total Homeless,11683.0,west,State
2018,WI,Sheltered Total Homeless,4525.0,midwest,State
2018,WV,Sheltered Total Homeless,1060.0,southeast,State
2018,WY,Sheltered Total Homeless,440.0,west,State
2018,Total,Sheltered Total Homeless,358363.0,Total,
2018,AK,Unsheltered Homeless,309.0,west,State
2018,AL,Unsheltered Homeless,1010.0,southeast,State
2018,AR,Unsheltered Homeless,1257.0,southeast,State
2018,AZ,Unsheltered Homeless,4066.0,southwest,State
2018,CA,Unsheltered Homeless,89543.0,west,State
2018,CO,Unsheltered Homeless,4329.0,west,State
2018,CT,Unsheltered Homeless,581.0,northeast,State
2018,DC,Unsheltered Homeless,600.0,southeast,State
2018,DE,Unsheltered Homeless,93.0,southeast,State
2018,FL,Unsheltered Homeless,13393.0,southeast,State
2018,GA,Unsheltered Homeless,3599.0,southeast,State
2018,GU,Unsheltered Homeless,727.0,west,Territory
2018,HI,Unsheltered Homeless,3475.0,west,State
2018,IA,Unsheltered Homeless,241.0,midwest,State
2018,ID,Unsheltered Homeless,723.0,west,State
2018,IL,Unsheltered Homeless,1942.0,midwest,State
2018,IN,Unsheltered Homeless,579.0,midwest,State
2018,KS,Unsheltered Homeless,357.0,midwest,State
2018,KY,Unsheltered Homeless,868.0,southeast,State
2018,LA,Unsheltered Homeless,1065.0,southeast,State
2018,MA,Unsheltered Homeless,985.0,northeast,State
2018,MD,Unsheltered Homeless,1764.0,southeast,State
2018,ME,Unsheltered Homeless,98.0,northeast,State
2018,MI,Unsheltered Homeless,899.0,midwest,State
2018,MN,Unsheltered Homeless,1121.0,midwest,State
2018,MO,Unsheltered Homeless,1214.0,midwest,State
2018,MP,Unsheltered Homeless,1022.0,west,Territory
2018,MS,Unsheltered Homeless,621.0,southeast,State
2018,MT,Unsheltered Homeless,373.0,west,State
2018,NC,Unsheltered Homeless,2450.0,southeast,State
2018,ND,Unsheltered Homeless,48.0,midwest,State
2018,NE,Unsheltered Homeless,144.0,midwest,State
2018,NH,Unsheltered Homeless,154.0,northeast,State
2018,NJ,Unsheltered Homeless,1623.0,northeast,State
2018,NM,Unsheltered Homeless,796.0,southwest,State
2018,NV,Unsheltered Homeless,4239.0,west,State
2018,NY,Unsheltered Homeless,4294.0,northeast,State
2018,OH,Unsheltered Homeless,1315.0,midwest,State
2018,OK,Unsheltered Homeless,1191.0,southwest,State
2018,OR,Unsheltered Homeless,8925.0,west,State
2018,PA,Unsheltered Homeless,1744.0,northeast,State
2018,PR,Unsheltered Homeless,2512.0,northeast,Territory
2018,RI,Unsheltered Homeless,51.0,northeast,State
2018,SC,Unsheltered Homeless,1344.0,southeast,State
2018,SD,Unsheltered Homeless,285.0,midwest,State
2018,TN,Unsheltered Homeless,2855.0,southeast,State
2018,TX,Unsheltered Homeless,10534.0,southwest,State
2018,UT,Unsheltered Homeless,420.0,west,State
2018,VA,Unsheltered Homeless,915.0,southeast,State
2018,VI,Unsheltered Homeless,307.0,northeast,Territory
2018,VT,Unsheltered Homeless,82.0,northeast,State
2018,WA,Unsheltered Homeless,10621.0,west,State
2018,WI,Unsheltered Homeless,382.0,midwest,State
2018,WV,Unsheltered Homeless,183.0,southeast,State
2018,WY,Unsheltered Homeless,199.0,west,State
2018,Total,Unsheltered Homeless,194467.0,Total,
2018,AK,Homeless Individuals,1434.0,west,State
2018,AL,Homeless Individuals,2570.0,southeast,State
2018,AR,Homeless Individuals,2280.0,southeast,State
2018,AZ,Homeless Individuals,7259.0,southwest,State
2018,CA,Homeless Individuals,109008.0,west,State
2018,CO,Homeless Individuals,7607.0,west,State
2018,CT,Homeless Individuals,2280.0,northeast,State
2018,DC,Homeless Individuals,3770.0,southeast,State
2018,DE,Homeless Individuals,708.0,southeast,State
2018,FL,Homeless Individuals,21443.0,southeast,State
2018,GA,Homeless Individuals,6943.0,southeast,State
2018,GU,Homeless Individuals,209.0,west,Territory
2018,HI,Homeless Individuals,4131.0,west,State
2018,IA,Homeless Individuals,1711.0,midwest,State
2018,ID,Homeless Individuals,1297.0,west,State
2018,IL,Homeless Individuals,6752.0,midwest,State
2018,IN,Homeless Individuals,3776.0,midwest,State
2018,KS,Homeless Individuals,1443.0,midwest,State
2018,KY,Homeless Individuals,2735.0,southeast,State
2018,LA,Homeless Individuals,2540.0,southeast,State
2018,MA,Homeless Individuals,6811.0,northeast,State
2018,MD,Homeless Individuals,4914.0,southeast,State
2018,ME,Homeless Individuals,1450.0,northeast,State
2018,MI,Homeless Individuals,5209.0,midwest,State
2018,MN,Homeless Individuals,3993.0,midwest,State
2018,MO,Homeless Individuals,3776.0,midwest,State
2018,MP,Homeless Individuals,357.0,west,Territory
2018,MS,Homeless Individuals,1024.0,southeast,State
2018,MT,Homeless Individuals,983.0,west,State
2018,NC,Homeless Individuals,6451.0,southeast,State
2018,ND,Homeless Individuals,467.0,midwest,State
2018,NE,Homeless Individuals,1745.0,midwest,State
2018,NH,Homeless Individuals,835.0,northeast,State
2018,NJ,Homeless Individuals,6048.0,northeast,State
2018,NM,Homeless Individuals,1949.0,southwest,State
2018,NV,Homeless Individuals,7058.0,west,State
2018,NY,Homeless Individuals,39827.0,northeast,State
2018,OH,Homeless Individuals,6929.0,midwest,State
2018,OK,Homeless Individuals,2823.0,southwest,State
2018,OR,Homeless Individuals,11139.0,west,State
2018,PA,Homeless Individuals,8163.0,northeast,State
2018,PR,Homeless Individuals,2921.0,northeast,Territory
2018,RI,Homeless Individuals,747.0,northeast,State
2018,SC,Homeless Individuals,3082.0,southeast,State
2018,SD,Homeless Individuals,836.0,midwest,State
2018,TN,Homeless Individuals,6139.0,southeast,State
2018,TX,Homeless Individuals,19199.0,southwest,State
2018,UT,Homeless Individuals,1904.0,west,State
2018,VA,Homeless Individuals,3928.0,southeast,State
2018,VI,Homeless Individuals,415.0,northeast,Territory
2018,VT,Homeless Individuals,780.0,northeast,State
2018,WA,Homeless Individuals,16424.0,west,State
2018,WI,Homeless Individuals,2740.0,midwest,State
2018,WV,Homeless Individuals,1021.0,southeast,State
2018,WY,Homeless Individuals,434.0,west,State
2018,Total,Homeless Individuals,372417.0,Total,
2018,AK,Sheltered ES Homeless Individuals,953.0,west,State
2018,AL,Sheltered ES Homeless Individuals,1057.0,southeast,State
2018,AR,Sheltered ES Homeless Individuals,708.0,southeast,State
2018,AZ,Sheltered ES Homeless Individuals,2327.0,southwest,State
2018,CA,Sheltered ES Homeless Individuals,16507.0,west,State
2018,CO,Sheltered ES Homeless Individuals,3317.0,west,State
2018,CT,Sheltered ES Homeless Individuals,1451.0,northeast,State
2018,DC,Sheltered ES Homeless Individuals,2472.0,southeast,State
2018,DE,Sheltered ES Homeless Individuals,460.0,southeast,State
2018,FL,Sheltered ES Homeless Individuals,7031.0,southeast,State
2018,GA,Sheltered ES Homeless Individuals,2002.0,southeast,State
2018,GU,Sheltered ES Homeless Individuals,19.0,west,Territory
2018,HI,Sheltered ES Homeless Individuals,832.0,west,State
2018,IA,Sheltered ES Homeless Individuals,1035.0,midwest,State
2018,ID,Sheltered ES Homeless Individuals,647.0,west,State
2018,IL,Sheltered ES Homeless Individuals,3746.0,midwest,State
2018,IN,Sheltered ES Homeless Individuals,2376.0,midwest,State
2018,KS,Sheltered ES Homeless Individuals,880.0,midwest,State
2018,KY,Sheltered ES Homeless Individuals,1650.0,southeast,State
2018,LA,Sheltered ES Homeless Individuals,839.0,southeast,State
2018,MA,Sheltered ES Homeless Individuals,4394.0,northeast,State
2018,MD,Sheltered ES Homeless Individuals,2298.0,southeast,State
2018,ME,Sheltered ES Homeless Individuals,644.0,northeast,State
2018,MI,Sheltered ES Homeless Individuals,3426.0,midwest,State
2018,MN,Sheltered ES Homeless Individuals,2168.0,midwest,State
2018,MO,Sheltered ES Homeless Individuals,1920.0,midwest,State
2018,MP,Sheltered ES Homeless Individuals,22.0,west,Territory
2018,MS,Sheltered ES Homeless Individuals,261.0,southeast,State
2018,MT,Sheltered ES Homeless Individuals,541.0,west,State
2018,NC,Sheltered ES Homeless Individuals,3577.0,southeast,State
2018,ND,Sheltered ES Homeless Individuals,306.0,midwest,State
2018,NE,Sheltered ES Homeless Individuals,1272.0,midwest,State
2018,NH,Sheltered ES Homeless Individuals,543.0,northeast,State
2018,NJ,Sheltered ES Homeless Individuals,3436.0,northeast,State
2018,NM,Sheltered ES Homeless Individuals,1021.0,southwest,State
2018,NV,Sheltered ES Homeless Individuals,1821.0,west,State
2018,NY,Sheltered ES Homeless Individuals,31571.0,northeast,State
2018,OH,Sheltered ES Homeless Individuals,4770.0,midwest,State
2018,OK,Sheltered ES Homeless Individuals,1510.0,southwest,State
2018,OR,Sheltered ES Homeless Individuals,2822.0,west,State
2018,PA,Sheltered ES Homeless Individuals,4539.0,northeast,State
2018,PR,Sheltered ES Homeless Individuals,313.0,northeast,Territory
2018,RI,Sheltered ES Homeless Individuals,557.0,northeast,State
2018,SC,Sheltered ES Homeless Individuals,1572.0,southeast,State
2018,SD,Sheltered ES Homeless Individuals,476.0,midwest,State
2018,TN,Sheltered ES Homeless Individuals,2792.0,southeast,State
2018,TX,Sheltered ES Homeless Individuals,7299.0,southwest,State
2018,UT,Sheltered ES Homeless Individuals,1224.0,west,State
2018,VA,Sheltered ES Homeless Individuals,2784.0,southeast,State
2018,VI,Sheltered ES Homeless Individuals,77.0,northeast,Territory
2018,VT,Sheltered ES Homeless Individuals,581.0,northeast,State
2018,WA,Sheltered ES Homeless Individuals,5103.0,west,State
2018,WI,Sheltered ES Homeless Individuals,1897.0,midwest,State
2018,WV,Sheltered ES Homeless Individuals,697.0,southeast,State
2018,WY,Sheltered ES Homeless Individuals,221.0,west,State
2018,Total,Sheltered ES Homeless Individuals,148764.0,Total,
2018,AK,Sheltered TH Homeless Individuals,220.0,west,State
2018,AL,Sheltered TH Homeless Individuals,596.0,southeast,State
2018,AR,Sheltered TH Homeless Individuals,367.0,southeast,State
2018,AZ,Sheltered TH Homeless Individuals,987.0,southwest,State
2018,CA,Sheltered TH Homeless Individuals,6911.0,west,State
2018,CO,Sheltered TH Homeless Individuals,963.0,west,State
2018,CT,Sheltered TH Homeless Individuals,248.0,northeast,State
2018,DC,Sheltered TH Homeless Individuals,698.0,southeast,State
2018,DE,Sheltered TH Homeless Individuals,150.0,southeast,State
2018,FL,Sheltered TH Homeless Individuals,3526.0,southeast,State
2018,GA,Sheltered TH Homeless Individuals,1555.0,southeast,State
2018,GU,Sheltered TH Homeless Individuals,3.0,west,Territory
2018,HI,Sheltered TH Homeless Individuals,383.0,west,State
2018,IA,Sheltered TH Homeless Individuals,433.0,midwest,State
2018,ID,Sheltered TH Homeless Individuals,125.0,west,State
2018,IL,Sheltered TH Homeless Individuals,1057.0,midwest,State
2018,IN,Sheltered TH Homeless Individuals,738.0,midwest,State
2018,KS,Sheltered TH Homeless Individuals,213.0,midwest,State
2018,KY,Sheltered TH Homeless Individuals,306.0,southeast,State
2018,LA,Sheltered TH Homeless Individuals,627.0,southeast,State
2018,MA,Sheltered TH Homeless Individuals,1354.0,northeast,State
2018,MD,Sheltered TH Homeless Individuals,1007.0,southeast,State
2018,ME,Sheltered TH Homeless Individuals,700.0,northeast,State
2018,MI,Sheltered TH Homeless Individuals,892.0,midwest,State
2018,MN,Sheltered TH Homeless Individuals,835.0,midwest,State
2018,MO,Sheltered TH Homeless Individuals,676.0,midwest,State
2018,MP,Sheltered TH Homeless Individuals,0.0,west,Territory
2018,MS,Sheltered TH Homeless Individuals,200.0,southeast,State
2018,MT,Sheltered TH Homeless Individuals,141.0,west,State
2018,NC,Sheltered TH Homeless Individuals,944.0,southeast,State
2018,ND,Sheltered TH Homeless Individuals,113.0,midwest,State
2018,NE,Sheltered TH Homeless Individuals,336.0,midwest,State
2018,NH,Sheltered TH Homeless Individuals,142.0,northeast,State
2018,NJ,Sheltered TH Homeless Individuals,1015.0,northeast,State
2018,NM,Sheltered TH Homeless Individuals,210.0,southwest,State
2018,NV,Sheltered TH Homeless Individuals,851.0,west,State
2018,NY,Sheltered TH Homeless Individuals,3895.0,northeast,State
2018,OH,Sheltered TH Homeless Individuals,871.0,midwest,State
2018,OK,Sheltered TH Homeless Individuals,321.0,southwest,State
2018,OR,Sheltered TH Homeless Individuals,1197.0,west,State
2018,PA,Sheltered TH Homeless Individuals,1630.0,northeast,State
2018,PR,Sheltered TH Homeless Individuals,251.0,northeast,Territory
2018,RI,Sheltered TH Homeless Individuals,141.0,northeast,State
2018,SC,Sheltered TH Homeless Individuals,381.0,southeast,State
2018,SD,Sheltered TH Homeless Individuals,122.0,midwest,State
2018,TN,Sheltered TH Homeless Individuals,1050.0,southeast,State
2018,TX,Sheltered TH Homeless Individuals,1554.0,southwest,State
