year,state,count_type,count
2018,NE,Sheltered ES Homeless Individuals,1272
2018,NH,Sheltered ES Homeless Individuals,543
2018,NJ,Sheltered ES Homeless Individuals,3436
2018,NM,Sheltered ES Homeless Individuals,1021
2018,NV,Sheltered ES Homeless Individuals,1821
2018,NY,Sheltered ES Homeless Individuals,31571
2018,OH,Sheltered ES Homeless Individuals,4770
2018,OK,Sheltered ES Homeless Individuals,1510
2018,OR,Sheltered ES Homeless Individuals,2822
2018,PA,Sheltered ES Homeless Individuals,4539
2018,PR,Sheltered ES Homeless Individuals,313
2018,RI,Sheltered ES Homeless Individuals,557
2018,SC,Sheltered ES Homeless Individuals,1572
2018,SD,Sheltered ES Homeless Individuals,476
2018,TN,Sheltered ES Homeless Individuals,2792
2018,TX,Sheltered ES Homeless Individuals,7299
2018,UT,Sheltered ES Homeless Individuals,1224
2018,VA,Sheltered ES Homeless Individuals,2784
2018,VI,Sheltered ES Homeless Individuals,77
2018,VT,Sheltered ES Homeless Individuals,581
2018,WA,Sheltered ES Homeless Individuals,5103
2018,WI,Sheltered ES Homeless Individuals,1897
2018,WV,Sheltered ES Homeless Individuals,697
2018,WY,Sheltered ES Homeless Individuals,221
2018,Total,Sheltered ES Homeless Individuals,148764
2018,AK,Sheltered TH Homeless Individuals,220
2018,AL,Sheltered TH Homeless Individuals,596
2018,AR,Sheltered TH Homeless Individuals,367
2018,AZ,Sheltered TH Homeless Individuals,987
2018,CA,Sheltered TH Homeless Individuals,6911
2018,CO,Sheltered TH Homeless Individuals,963
2018,CT,Sheltered TH Homeless Individuals,248
2018,DC,Sheltered TH Homeless Individuals,698
2018,DE,Sheltered TH Homeless Individuals,150
2018,FL,Sheltered TH Homeless Individuals,3526
2018,GA,Sheltered TH Homeless Individuals,1555
2018,GU,Sheltered TH Homeless Individuals,3
2018,HI,Sheltered TH Homeless Individuals,383
2018,IA,Sheltered TH Homeless Individuals,433
2018,ID,Sheltered TH Homeless Individuals,125
2018,IL,Sheltered TH Homeless Individuals,1057
2018,IN,Sheltered TH Homeless Individuals,738
2018,KS,Sheltered TH Homeless Individuals,213
2018,KY,Sheltered TH Homeless Individuals,306
2018,LA,Sheltered TH Homeless Individuals,627
2018,MA,Sheltered TH Homeless Individuals,1354
2018,MD,Sheltered TH Homeless Individuals,1007
2018,ME,Sheltered TH Homeless Individuals,700
2018,MI,Sheltered TH Homeless Individuals,892
2018,MN,Sheltered TH Homeless Individuals,835
2018,MO,Sheltered TH Homeless Individuals,676
2018,MP,Sheltered TH Homeless Individuals,0
2018,MS,Sheltered TH Homeless Individuals,200
2018,MT,Sheltered TH Homeless Individuals,141
2018,NC,Sheltered TH Homeless Individuals,944
2018,ND,Sheltered TH Homeless Individuals,113
2018,NE,Sheltered TH Homeless Individuals,336
2018,NH,Sheltered TH Homeless Individuals,142
2018,NJ,Sheltered TH Homeless Individuals,1015
2018,NM,Sheltered TH Homeless Individuals,210
2018,NV,Sheltered TH Homeless Individuals,851
2018,NY,Sheltered TH Homeless Individuals,3895
2018,OH,Sheltered TH Homeless Individuals,871
2018,OK,Sheltered TH Homeless Individuals,321
2018,OR,Sheltered TH Homeless Individuals,1197
2018,PA,Sheltered TH Homeless Individuals,1630
2018,PR,Sheltered TH Homeless Individuals,251
2018,RI,Sheltered TH Homeless Individuals,141
2018,SC,Sheltered TH Homeless Individuals,381
2018,SD,Sheltered TH Homeless Individuals,122
2018,TN,Sheltered TH Homeless Individuals,1050
2018,TX,Sheltered TH Homeless Individuals,1554
2018,UT,Sheltered TH Homeless Individuals,262
2018,VA,Sheltered TH Homeless Individuals,264
2018,VI,Sheltered TH Homeless Individuals,31
2018,VT,Sheltered TH Homeless Individuals,130
2018,WA,Sheltered TH Homeless Individuals,1375
2018,WI,Sheltered TH Homeless Individuals,419
2018,WV,Sheltered TH Homeless Individuals,135
2018,WY,Sheltered TH Homeless Individuals,78
2018,Total,Sheltered TH Homeless Individuals,43629
2018,AK,Sheltered SH Homeless Individuals,0
2018,AL,Sheltered SH Homeless Individuals,40
2018,AR,Sheltered SH Homeless Individuals,6
2018,AZ,Sheltered SH Homeless Individuals,40
2018,CA,Sheltered SH Homeless Individuals,217
2018,CO,Sheltered SH Homeless Individuals,22
2018,CT,Sheltered SH Homeless Individuals,0
2018,DC,Sheltered SH Homeless Individuals,0
2018,DE,Sheltered SH Homeless Individuals,5
2018,FL,Sheltered SH Homeless Individuals,129
2018,GA,Sheltered SH Homeless Individuals,0
2018,GU,Sheltered SH Homeless Individuals,0
2018,HI,Sheltered SH Homeless Individuals,0
2018,IA,Sheltered SH Homeless Individuals,23
2018,ID,Sheltered SH Homeless Individuals,0
2018,IL,Sheltered SH Homeless Individuals,73
2018,IN,Sheltered SH Homeless Individuals,91
2018,KS,Sheltered SH Homeless Individuals,4
2018,KY,Sheltered SH Homeless Individuals,0
2018,LA,Sheltered SH Homeless Individuals,36
2018,MA,Sheltered SH Homeless Individuals,80
2018,MD,Sheltered SH Homeless Individuals,77
2018,ME,Sheltered SH Homeless Individuals,15
2018,MI,Sheltered SH Homeless Individuals,72
2018,MN,Sheltered SH Homeless Individuals,16
2018,MO,Sheltered SH Homeless Individuals,38
2018,MP,Sheltered SH Homeless Individuals,0
2018,MS,Sheltered SH Homeless Individuals,0
2018,MT,Sheltered SH Homeless Individuals,0
2018,NC,Sheltered SH Homeless Individuals,0
2018,ND,Sheltered SH Homeless Individuals,0
2018,NE,Sheltered SH Homeless Individuals,0
2018,NH,Sheltered SH Homeless Individuals,8
2018,NJ,Sheltered SH Homeless Individuals,19
2018,NM,Sheltered SH Homeless Individuals,0
2018,NV,Sheltered SH Homeless Individuals,201
2018,NY,Sheltered SH Homeless Individuals,96
2018,OH,Sheltered SH Homeless Individuals,92
2018,OK,Sheltered SH Homeless Individuals,17
2018,OR,Sheltered SH Homeless Individuals,8
2018,PA,Sheltered SH Homeless Individuals,280
2018,PR,Sheltered SH Homeless Individuals,16
2018,RI,Sheltered SH Homeless Individuals,0
2018,SC,Sheltered SH Homeless Individuals,15
2018,SD,Sheltered SH Homeless Individuals,0
2018,TN,Sheltered SH Homeless Individuals,11
2018,TX,Sheltered SH Homeless Individuals,64
2018,UT,Sheltered SH Homeless Individuals,0
2018,VA,Sheltered SH Homeless Individuals,18
2018,VI,Sheltered SH Homeless Individuals,0
2018,VT,Sheltered SH Homeless Individuals,0
2018,WA,Sheltered SH Homeless Individuals,41
2018,WI,Sheltered SH Homeless Individuals,67
2018,WV,Sheltered SH Homeless Individuals,10
2018,WY,Sheltered SH Homeless Individuals,0
2018,Total,Sheltered SH Homeless Individuals,1947
2018,AK,Sheltered Total Homeless Individuals,1173
2018,AL,Sheltered Total Homeless Individuals,1693
2018,AR,Sheltered Total Homeless Individuals,1081
2018,AZ,Sheltered Total Homeless Individuals,3354
2018,CA,Sheltered Total Homeless Individuals,23635
2018,CO,Sheltered Total Homeless Individuals,4302
2018,CT,Sheltered Total Homeless Individuals,1699
2018,DC,Sheltered Total Homeless Individuals,3170
2018,DE,Sheltered Total Homeless Individuals,615
2018,FL,Sheltered Total Homeless Individuals,10686
2018,GA,Sheltered Total Homeless Individuals,3557
2018,GU,Sheltered Total Homeless Individuals,22
2018,HI,Sheltered Total Homeless Individuals,1215
2018,IA,Sheltered Total Homeless Individuals,1491
2018,ID,Sheltered Total Homeless Individuals,772
2018,IL,Sheltered Total Homeless Individuals,4876
2018,IN,Sheltered Total Homeless Individuals,3205
2018,KS,Sheltered Total Homeless Individuals,1097
2018,KY,Sheltered Total Homeless Individuals,1956
2018,LA,Sheltered Total Homeless Individuals,1502
2018,MA,Sheltered Total Homeless Individuals,5828
2018,MD,Sheltered Total Homeless Individuals,3382
2018,ME,Sheltered Total Homeless Individuals,1359
2018,MI,Sheltered Total Homeless Individuals,4390
2018,MN,Sheltered Total Homeless Individuals,3019
2018,MO,Sheltered Total Homeless Individuals,2634
2018,MP,Sheltered Total Homeless Individuals,22
2018,MS,Sheltered Total Homeless Individuals,461
2018,MT,Sheltered Total Homeless Individuals,682
2018,NC,Sheltered Total Homeless Individuals,4521
2018,ND,Sheltered Total Homeless Individuals,419
2018,NE,Sheltered Total Homeless Individuals,1608
2018,NH,Sheltered Total Homeless Individuals,693
2018,NJ,Sheltered Total Homeless Individuals,4470
2018,NM,Sheltered Total Homeless Individuals,1231
2018,NV,Sheltered Total Homeless Individuals,2873
2018,NY,Sheltered Total Homeless Individuals,35562
2018,OH,Sheltered Total Homeless Individuals,5733
2018,OK,Sheltered Total Homeless Individuals,1848
2018,OR,Sheltered Total Homeless Individuals,4027
2018,PA,Sheltered Total Homeless Individuals,6449
2018,PR,Sheltered Total Homeless Individuals,580
2018,RI,Sheltered Total Homeless Individuals,698
2018,SC,Sheltered Total Homeless Individuals,1968
2018,SD,Sheltered Total Homeless Individuals,598
2018,TN,Sheltered Total Homeless Individuals,3853
2018,TX,Sheltered Total Homeless Individuals,8917
2018,UT,Sheltered Total Homeless Individuals,1486
2018,VA,Sheltered Total Homeless Individuals,3066
2018,VI,Sheltered Total Homeless Individuals,108
2018,VT,Sheltered Total Homeless Individuals,711
2018,WA,Sheltered Total Homeless Individuals,6519
2018,WI,Sheltered Total Homeless Individuals,2383
2018,WV,Sheltered Total Homeless Individuals,842
2018,WY,Sheltered Total Homeless Individuals,299
2018,Total,Sheltered Total Homeless Individuals,194340
2018,AK,Unsheltered Homeless Individuals,261
2018,AL,Unsheltered Homeless Individuals,877
2018,AR,Unsheltered Homeless Individuals,1199
2018,AZ,Unsheltered Homeless Individuals,3905
2018,CA,Unsheltered Homeless Individuals,85373
2018,CO,Unsheltered Homeless Individuals,3305
2018,CT,Unsheltered Homeless Individuals,581
2018,DC,Unsheltered Homeless Individuals,600
2018,DE,Unsheltered Homeless Individuals,93
2018,FL,Unsheltered Homeless Individuals,10757
2018,GA,Unsheltered Homeless Individuals,3386
2018,GU,Unsheltered Homeless Individuals,187
2018,HI,Unsheltered Homeless Individuals,2916
2018,IA,Unsheltered Homeless Individuals,220
2018,ID,Unsheltered Homeless Individuals,525
2018,IL,Unsheltered Homeless Individuals,1876
2018,IN,Unsheltered Homeless Individuals,571
2018,KS,Unsheltered Homeless Individuals,346
2018,KY,Unsheltered Homeless Individuals,779
2018,LA,Unsheltered Homeless Individuals,1038
2018,MA,Unsheltered Homeless Individuals,983
2018,MD,Unsheltered Homeless Individuals,1532
2018,ME,Unsheltered Homeless Individuals,91
2018,MI,Unsheltered Homeless Individuals,819
2018,MN,Unsheltered Homeless Individuals,974
2018,MO,Unsheltered Homeless Individuals,1142
2018,MP,Unsheltered Homeless Individuals,335
2018,MS,Unsheltered Homeless Individuals,563
2018,MT,Unsheltered Homeless Individuals,301
2018,NC,Unsheltered Homeless Individuals,1930
2018,ND,Unsheltered Homeless Individuals,48
2018,NE,Unsheltered Homeless Individuals,137
2018,NH,Unsheltered Homeless Individuals,142
2018,NJ,Unsheltered Homeless Individuals,1578
2018,NM,Unsheltered Homeless Individuals,718
2018,NV,Unsheltered Homeless Individuals,4185
